Pver_Sc0000195_size437481	23016.3	31751	39714.1	32104.8	18197.8	19377.7	25353.5	17933	23287.5	18911.6	20964.8	18201.1	17322.4	20062.1	31580.1	22384.9	22219.5	25875.4	23985	22556.9	30532.3	17823.4	41530.3	34033.4	20852.5	46123.7	35078.3	19823.3	49292.4	37283.2	35034.9	20135.9
Pver_Sc0001009_size56451	3076	4321.53	3881.82	3870.91	2581	2790.61	3641.64	2062	3040	2146.78	2797	1976	1859.39	2827	4182.7	3127.36	2806	2737.36	2973	2646	4933	2665	6291	1901	2296	3510	3030	1264.35	3221.24	3998.51	3777	2660
Pver_xfSc0002638_size2931	0	2.0127	0	2.02577	0	0.291825	3.01371	0	0	2.00662	2.0125	4.04248	0	0	3.02247	3.04239	1.00189	0	0	0	2.05431	0	2.01201	0	0	0	0	0	4.03772	4.01373	0	1.627
Pver_Sc0000620_size159048	1117.45	2899.6	5007.1	3018.55	4159.51	1818.76	1687.82	462.585	2909.69	6462.36	1328.7	619.506	1651.43	807.168	2992.56	1950.45	1033.83	1405.83	1777.3	2111.32	6399.22	1900.8	9644.42	2545.11	1108.56	2565.04	1524.66	395.27	1443.5	4175.74	1325.35	1302.02
Pver_Sc0002323_size6502	39.0438	9.70127	7.69025	3.00368	2.00405	2	2.62722	1	5.00436	2.00259	1.46474	37.8691	2.00927	1	6.0222	12.5177	0	2	0	4.77245	11.4894	1.20211	4	14	1.05703	6.02211	0	1	4.07198	0	1.00298	0
Pver_Sc0001427_size22198	10.2154	15.0252	15.2869	20.1679	2.00437	15.0921	16.4479	19.0677	6.03316	15.264	10.3482	2.00606	6.06249	5.03022	10.1491	6.00194	2.01235	14.3026	6.01002	7.09378	26.3426	13.0238	21	3.01241	2.00544	15.1095	10.0385	15.0672	25.5511	14.8092	10.425	8.0118
Pver_Sc0008711_size930	0	1.51641	2.04368	0	0	0	1.04312	1.32766	0	1.61782	0	0.000521344	2.51395	0	0	0	2.45457	0	0.965063	0	1.76841	1.38001	0	0	0	0	1.90468	0.552927	1.79601	1.58917	0	7.95628
Pver_xfSc0004507_size1811	1.34465	0	0	0	0	0.656979	0	3.53034	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.128434	1.02066	0	0	0	0	3.0064	0.534857
Pver_Sc0000010_size1243551	44574	66637.4	82721.7	72378.2	42717.7	42953.3	53720.2	37934.3	49385	40558.5	46690	37745	31887.4	43121.8	72059.7	49052.4	49784.3	52351.3	49837.2	44156.6	64471.3	41478.4	86768.7	51740.8	40154.3	83527.6	64473.1	32389	81798.9	72169.6	63382.5	42539.8
Pver_Sc0004877_size1967	4.67506	5.09163	0	4.26729	1.03244	1.0418	5.0513	0	2.1576	0	0	1.14177	0	4.31592	0	6.93585	5.14005	9.4125	1.03889	0	0	3.87951	12.3054	3.32084	3	0	5.56263	5.25703	5.03629	1	0	0
